playerId,playerNickname,shirtNumber,playerTeam,playerRole,Full Name,Height,Weight,Age Info,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,pens_made,pens_att,Market Value,birth_date,age,height_cm
13930,Giorgian De Arrascaeta,10,Uruguay,AM,Giorgian De Arrascaeta,172cm,67kg,(Age: 30-304d),6.25,48.25,18.5,38.425,2.742,1.042,0.118,0.307,18.025,0.25,0.25,15000000.0,1994-06-01,30.0,174.0
156,Lucas Torreira,14,Uruguay,DM,Lucas Torreira,167cm,63kg,(Age: 29-049d),2.25,19.5,6.5,32.675,0.975,0.323,0.158,0.47,22.3,0.0,0.0,33000000.0,1996-02-11,29.0,166.0
7469,Facundo Torres,20,Uruguay,LW,Facundo Torres,178cm,71kg,(Age: 24-353d),6.333,52.0,13.0,25.0,1.81,0.45,0.15,0.62,20.9,0.333,0.333,1796875.0,2000-04-13,24.0,177.0
8009,Darwin Nunez,11,Uruguay,CF,Darwin Núñez,187cm,79kg,(Age: 25-281d),16.0,74.667,35.333,46.6,3.257,1.537,0.167,0.347,,3.0,3.0,11977272.0,1999-06-24,25.0,187.0
13924,Sergio Rochet,23,Uruguay,GK,Sergio Rochet,190cm,82kg,(Age: 32-009d),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,759090.0,1993-03-23,32.0,190.0
8133,Matias Vecino,5,Uruguay,CM,Matías Vecino,187cm,81kg,(Age: 33-220d),2.5,36.0,12.0,33.1,1.97,0.65,0.07,0.21,15.8,0.0,0.0,17650000.0,1991-08-24,33.0,187.0
2077,Edinson Cavani,21,Uruguay,CF,Edinson Cavani,184cm,73kg,(Age: 38-046d),5.667,27.667,9.667,34.4,2.09,0.727,0.167,0.46,12.9,0.667,1.0,30818181.0,1987-02-14,38.0,184.0
7584,Rodrigo Bentancur,6,Uruguay,CM,Rodrigo Bentancur,185cm,73kg,(Age: 27-280d),0.0,13.25,2.75,19.725,0.698,0.13,0.0,0.0,22.625,0.0,0.0,35461538.0,1997-06-25,27.0,187.0
13926,Diego Godin,3,Uruguay,MCB,Diego Godín,186cm,78kg,,0.5,9.5,2.0,16.65,0.6,0.07,0.04,0.25,11.05,0.0,0.0,15708333.0,1986-02-16,39.0,187.0
1684,Federico Valverde,15,Uruguay,CM,Federico Valverde,183cm,72kg,(Age: 26-253d),1.25,21.25,7.25,31.8,1.29,0.41,0.058,0.14,23.9,0.0,0.0,42636363.0,1998-07-22,26.0,182.0
8071,Sebastian Coates,19,Uruguay,LCB,Sebastián Coates,196cm,84kg,(Age: 34-176d),3.0,31.5,10.25,31.325,1.03,0.335,0.092,0.282,,0.0,0.0,11090909.0,1990-10-07,34.0,196.0
13925,Sebastian Sosa,12,Uruguay,GK,Sebastián Sosa,179cm,77kg,(Age: 38-225d),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633333.0,1994-03-13,31.0,187.0
11961,Fernando Muslera,1,Uruguay,GK,Fernando Muslera,191cm,73kg,(Age: 38-289d),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4625000.0,1986-06-16,38.0,190.0
1535,Luis Suarez,9,Uruguay,CF,Luis Suárez,182cm,84kg,(Age: 38-067d),13.5,76.667,34.667,45.767,3.21,1.473,0.183,0.403,17.167,1.5,1.75,38727272.0,1987-01-24,38.0,182.0
13928,Agustin Canobbio,24,Uruguay,RW,Agustín Canobbio,175cm,72kg,(Age: 26-182d),3.667,24.0,7.0,29.2,1.53,0.45,0.08,0.29,20.9,0.333,0.333,675000.0,1998-10-01,26.0,175.0
2075,Facundo Pellistri,8,Uruguay,RW,Facundo Pellistri,174cm,68kg,(Age: 23-102d),0.5,6.0,2.0,34.3,0.885,0.3,0.0,0.0,17.2,0.0,0.0,4160000.0,2001-12-20,23.0,175.0
1368,Jose Gimenez,2,Uruguay,RCB,José María Giménez,185cm,76kg,(Age: 30-071d),0.25,15.0,4.25,27.225,0.728,0.203,0.013,0.035,12.925,0.0,0.0,57769230.0,1995-01-20,30.0,185.0
13931,José Luis Rodríguez,26,Uruguay,RB,José Luis Rodríguez Bebanz,183cm,73kg,(Age: 28-018d),2.0,,,,,,,,,0.0,0.0,853571.0,1997-03-14,28.0,183.0
1836,Maxi Gomez,18,Uruguay,CF,Maxi Gómez,186cm,91kg,(Age: 28-230d),2.5,32.5,14.0,41.2,1.775,0.75,0.05,0.115,14.3,0.0,0.0,28538461.0,1996-08-14,28.0,186.0
1545,Mathías Olivera,16,Uruguay,LWB,Mathías Olivera,184cm,78kg,(Age: 27-152d),0.25,13.75,3.75,29.25,0.562,0.17,0.01,0.035,13.775,0.0,0.0,4900000.0,1997-10-31,27.0,185.0
13927,Guillermo Varela,13,Uruguay,RWB,Guillermo Varela,171cm,68kg,(Age: 32-008d),0.0,3.5,1.0,35.0,0.215,0.06,0.0,0.0,,0.0,0.0,1712500.0,1993-03-24,32.0,173.0
12529,Matias Vina,17,Uruguay,LB,Matías Viña,176cm,71kg,(Age: 27-143d),2.0,15.0,3.0,20.85,0.765,0.155,0.03,0.165,19.25,0.0,0.0,4490000.0,1997-11-09,27.0,175.0
13462,Martín Cáceres,22,Uruguay,RCB,Martín Cáceres,180cm,78kg,(Age: 37-359d),1.0,7.333,2.333,27.15,0.453,0.117,0.135,0.665,17.6,0.0,0.0,1760000.0,1987-04-07,37.0,180.0
13929,Nicolas De La Cruz,7,Uruguay,CM,Nicolás De La Cruz,167cm,64kg,(Age: 27-304d),3.667,35.0,9.667,30.3,2.61,0.767,0.123,0.387,,0.0,0.333,11812500.0,1997-06-01,27.0,167.0
