playerId,playerName,shirtNumber,playerTeam,playerRole,Full Name,Height,Weight,Age Info,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,pens_made,pens_att,tackles,tackles_won,blocks,interceptions,clearances,errors,passes_completed,passes_total_distance,passes_progressive_distance,progressive_passes,passes_into_final_third,passes_into_penalty_area,assists,passes_completed_short,passes_completed_medium,passes_completed_long,Market Value,birth_date,age,height_cm
13949,Tarek Salman,5,Qatar,RCB,Tarek Salman,180cm,71kg,(Age: 27-192d),,,,,,,,,,,,,,,,,,,,,,,,,,,,412500,1997-12-05,27,179
13952,Jassem Gaber Abdulsallam,25,Qatar,RCB,Jassem Gaber,178cm,64kg,(Age: 23-115d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13962,Almoez Ali,19,Qatar,CF,Almoez Ali,180cm,68kg,(Age: 28-300d),2.0,9.0,4.0,44.4,1.45,0.65,0.22,0.5,,0.0,0.0,,5.0,,2.0,,,,,,,,,2.0,,,,2412500,1996-08-19,28,180
13965,Khalid Muneer Mazeed,18,Qatar,LW,Khalid Muneer,171cm,55kg,(Age: 27-111d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13963,Mohammed Muntari,9,Qatar,CF,Mohammed Muntari,194cm,79kg,(Age: 31-177d),,,,,,,,,,,,,,,,,,,,,,,,,,,,683333,1993-12-20,31,194
13956,Assim Madibo,23,Qatar,CM,Assim Madibo,163cm,71kg,(Age: 28-236d),,,,,,,,,,,,,,,,,,,,,,,,,,,,378571,1996-10-22,28,168
13957,Salem Al-Hajri,20,Qatar,DM,Salem Al-Hajri,183cm,59kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383333,1996-04-10,29,183
13966,Naif Al-Hadhrami,24,Qatar,RW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,2001-07-18,23,180
13942,Meshaal Barsham,22,Qatar,GK,Meshaal Barsham,178cm,66kg,(Age: 27-121d),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,0.0,,,,145000,,,
13947,Ismaeel Mohammed,17,Qatar,RWB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
